date,year,month,energy_index_raw,energy_cost_index,source
2022-01-01,2022,1,241.38,100.0,FRED live
2022-02-01,2022,2,260.05,107.74,FRED live
2022-03-01,2022,3,331.78,137.45,FRED live
2022-04-01,2022,4,300.53,124.51,FRED live
2022-05-01,2022,5,306.67,127.05,FRED live
2022-06-01,2022,6,328.12,135.94,FRED live
2022-07-01,2022,7,343.81,142.44,FRED live
2022-08-01,2022,8,376.41,155.94,FRED live
2022-09-01,2022,9,330.15,136.78,FRED live
2022-10-01,2022,10,259.86,107.66,FRED live
2022-11-01,2022,11,256.86,106.41,FRED live
2022-12-01,2022,12,258.5,107.09,FRED live
2023-01-01,2023,1,223.27,92.5,FRED live
2023-02-01,2023,2,201.72,83.57,FRED live
2023-03-01,2023,3,186.02,77.07,FRED live
2023-04-01,2023,4,192.37,79.7,FRED live
2023-05-01,2023,5,169.23,70.11,FRED live
2023-06-01,2023,6,165.82,68.7,FRED live
2023-07-01,2023,7,174.98,72.49,FRED live
2023-08-01,2023,8,188.22,77.98,FRED live
2023-09-01,2023,9,204.55,84.74,FRED live
2023-10-01,2023,10,202.89,84.06,FRED live
2023-11-01,2023,11,189.8,78.63,FRED live
2023-12-01,2023,12,175.18,72.58,FRED live
2024-01-01,2024,1,173.66,71.95,FRED live
2024-02-01,2024,2,173.23,71.77,FRED live
2024-03-01,2024,3,179.82,74.5,FRED live
2024-04-01,2024,4,188.53,78.11,FRED live
2024-05-01,2024,5,182.88,75.76,FRED live
2024-06-01,2024,6,186.04,77.08,FRED live
2024-07-01,2024,7,185.93,77.03,FRED live
2024-08-01,2024,8,181.71,75.28,FRED live
2024-09-01,2024,9,170.44,70.61,FRED live
2024-10-01,2024,10,177.02,73.34,FRED live
2024-11-01,2024,11,177.34,73.47,FRED live
2024-12-01,2024,12,177.43,73.51,FRED live
