date,year,month,eur_usd,exchange_rate_index,source
2022-01-01,2022,1,1.1317,100.0,FRED live
2022-02-01,2022,2,1.1349,100.29,FRED live
2022-03-01,2022,3,1.1019,97.36,FRED live
2022-04-01,2022,4,1.0803,95.46,FRED live
2022-05-01,2022,5,1.0567,93.38,FRED live
2022-06-01,2022,6,1.0567,93.38,FRED live
2022-07-01,2022,7,1.0168,89.85,FRED live
2022-08-01,2022,8,1.0129,89.5,FRED live
2022-09-01,2022,9,0.9899,87.47,FRED live
2022-10-01,2022,10,0.9853,87.07,FRED live
2022-11-01,2022,11,1.0192,90.06,FRED live
2022-12-01,2022,12,1.0591,93.58,FRED live
2023-01-01,2023,1,1.0777,95.23,FRED live
2023-02-01,2023,2,1.0702,94.57,FRED live
2023-03-01,2023,3,1.0711,94.65,FRED live
2023-04-01,2023,4,1.0962,96.87,FRED live
2023-05-01,2023,5,1.0867,96.03,FRED live
2023-06-01,2023,6,1.084,95.79,FRED live
2023-07-01,2023,7,1.1067,97.79,FRED live
2023-08-01,2023,8,1.091,96.41,FRED live
2023-09-01,2023,9,1.0672,94.3,FRED live
2023-10-01,2023,10,1.0565,93.35,FRED live
2023-11-01,2023,11,1.0819,95.6,FRED live
2023-12-01,2023,12,1.0909,96.4,FRED live
2024-01-01,2024,1,1.0899,96.31,FRED live
2024-02-01,2024,2,1.0793,95.37,FRED live
2024-03-01,2024,3,1.087,96.05,FRED live
2024-04-01,2024,4,1.0724,94.76,FRED live
2024-05-01,2024,5,1.081,95.52,FRED live
2024-06-01,2024,6,1.0763,95.11,FRED live
2024-07-01,2024,7,1.0847,95.85,FRED live
2024-08-01,2024,8,1.102,97.38,FRED live
2024-09-01,2024,9,1.1104,98.12,FRED live
2024-10-01,2024,10,1.0894,96.27,FRED live
2024-11-01,2024,11,1.0621,93.85,FRED live
2024-12-01,2024,12,1.0472,92.54,FRED live
